Model,MSE,MAE,R-squared,Explained Variance
Random Forest,37.7786379924476,4.666511206073727,-0.7886927104702848,-0.6381110787207867
SVR,36.70827336459941,4.7813020722925454,-0.7380145095314359,-0.6586685168624702
Gradient Boosting,32.5448062701003,4.25342718898011,-0.5408882064682543,-0.42743395417676444
Lasso,36.57751884601307,4.892283893426253,-0.7318237184737173,-0.64624367256749
Ridge,29.395314438739796,4.484194906219331,-0.39177025569495094,-0.29559273783958706
ElasticNet,33.62356922242176,4.747029984120841,-0.5919640401054684,-0.5272573475760889
Decision Tree,43.6015264303803,5.135708869451348,-1.0643870884649091,-0.9472470104065314
KNN,23.024249491386318,4.080951078428221,-0.09012154534329442,-0.09005489276119816
Linear Regression,885.9075361908568,18.99850380705781,-40.9447718695433,-40.85802956330855
"
        'Polynomial Regression': (Pipeline([
            ('poly', PolynomialFeatures(interaction_only=True, include_bias=False)),
            ('linear', LinearRegression())
        ]), {
            'poly__degree': [2, 3],
            'linear__fit_intercept': [True, False]
        }),
        SGD Regressor",30.77398843872462,4.606043711596842,-0.4570458787701066,-0.36763371731012073
Bayesian Ridge,30.961357844475216,4.581217467153605,-0.46591719621406136,-0.37381677046389505
ARD Regression,46.633392699117266,5.168060021457629,-1.207935860527436,-1.1277230009733565
Passive Aggressive Regressor,35.32433146719501,4.965950022089063,-0.6724894690549492,-0.5938685462853563
Extra Trees Regressor,27.29081345906605,4.258644211098616,-0.29212914205097773,-0.22711281074922174
AdaBoost Regressor,33.50966207006334,4.606523300402205,-0.5865709157388714,-0.5232079047246405
Bagging Regressor,27.08479309359998,4.16960105404936,-0.2823747637700229,-0.21400754377193842
Extra Tree Regressor,39.73096187844289,4.746810242102301,-0.8811287454606125,-0.7986348476764205
Huber Regressor,35.80097083294281,4.812278084158317,-0.6950567558694369,-0.6698473859232448
Quantile Regressor,30.806576667986864,4.506054707470275,-0.4585888229106596,-0.42281606960338114
TheilSen Regressor,282.51055729710606,13.097245968814448,-12.375934160708807,-12.244788118571712
