Model,MSE,MAE,R-squared,Explained Variance
Random Forest,-1.3304561524561291,-0.9650704886007865,0.4537147429254893,0.4706926986130036
SVR,-2.231068476244475,-1.2344143247575745,0.07517321284801652,0.08383232387627622
Gradient Boosting,-1.2626732069581328,-0.8690790084268426,0.4889348488199148,0.5248159255580435
Lasso,-1.765372463239187,-1.058153978661094,0.26168631211277865,0.2995736950007653
Ridge,-1.9994408543964735,-1.1389294860310448,0.16951051046552704,0.18295489087294378
ElasticNet,-1.7819794670239826,-1.0684258341106612,0.25519764498157677,0.27573530078091035
Decision Tree,-2.008761387009113,-1.1237155117046964,0.17594453960687462,0.1947715404301971
KNN,-2.5752378055422747,-1.323938837573005,-0.07159840833225965,0.033905754098902396
Linear Regression,-5.112794208175731,-1.8073147966082697,-1.2473540766894045,-1.2303737318490604
"
        'Polynomial Regression': (Pipeline([
            ('poly', PolynomialFeatures(interaction_only=True, include_bias=False)),
            ('linear', LinearRegression())
        ]), {
            'poly__degree': [2, 3],
            'linear__fit_intercept': [True, False]
        }),
        SGD Regressor",-3.1408001620016713e+24,-2355632247882.312,-4.3174581503757185e+24,-7.845468175536129e+23
Bayesian Ridge,-2.428304494814366,-1.305785561301917,-0.0073297421553562,0.02465385365573895
ARD Regression,-4.85205302761702,-1.6406261508323026,-1.1118168877419634,-1.093089121874988
Passive Aggressive Regressor,-62.38818393093282,-6.817044883474266,-25.261181480640122,-7.753562093191236
Extra Trees Regressor,-1.3014759882697022,-0.9588525833945889,0.4742231598034538,0.46134244545453446
AdaBoost Regressor,-1.2434940168197586,-0.8869488987143178,0.4990589375733829,0.524725616800927
Bagging Regressor,-1.2587663371792257,-0.9570936567564368,0.4308654326364146,0.4844936697452584
Extra Tree Regressor,-2.7488229153720294,-1.3358579341441859,-0.09591050993229404,-0.6206226989267095
Huber Regressor,-62.04441369051299,-6.686497755059108,-24.696947944114754,-7.392664210554853
Quantile Regressor,-1.8168998830985472,-1.079248671608542,0.23685507291907557,0.2985772712289097
TheilSen Regressor,-66.91336897290795,-6.777119482771642,-26.79277355108292,-9.269933389102883
