protein_id	specimen_id	lower_limit_of_quantitation	protein_expression	quality_control	unit	upper_limit_of_quantitation
Q96SB3	164	1.04249	3.21628	Pass	Normalized Protein eXpression	nan
P16278	164	1.26187	2.04025	Pass	Normalized Protein eXpression	nan
O75475	164	1.26807	1.26807	Pass	Normalized Protein eXpression	nan
Q05516	164	0.7018	2.60758	Pass	Normalized Protein eXpression	nan
Q9NWZ3	164	1.52904	1.52904	Pass	Normalized Protein eXpression	nan
Q15661	164	0.86232	4.72226	Pass	Normalized Protein eXpression	nan
P14317	164	0.92094	3.62552	Pass	Normalized Protein eXpression	nan
Q9UHC6	164	0.89232	1.27307	Pass	Normalized Protein eXpression	nan
Q6UXB4	164	1.22117	2.95248	Pass	Normalized Protein eXpression	nan
Q00978	164	1.17154	1.89259	Pass	Normalized Protein eXpression	nan
Q9UNE0	164	1.50621	1.8595	Pass	Normalized Protein eXpression	nan
P05231	164	1.09691	1.43093	Pass	Normalized Protein eXpression	nan
Q13574	164	0.65881	0.65881	Pass	Normalized Protein eXpression	nan
Q8WTT0	164	1.00541	4.51523	Pass	Normalized Protein eXpression	nan
P51617	164	0.26049	1.57756	Pass	Normalized Protein eXpression	nan
Q9UMR7	164	1.13912	4.19332	Pass	Normalized Protein eXpression	nan
Q06830	164	1.04951	1.54147	Pass	Normalized Protein eXpression	nan
P30048	164	0.20992	2.42623	Pass	Normalized Protein eXpression	nan
P09038	164	0.54183	0.54183	Pass	Normalized Protein eXpression	nan
P30044	164	0.88832	6.96748	Pass	Normalized Protein eXpression	nan
Q8N608	164	0.62778	1.17733	Pass	Normalized Protein eXpression	nan
Q9C035	164	1.03969	2.8254	Pass	Normalized Protein eXpression	nan
Q14203	164	1.19409	4.17918	Pass	Normalized Protein eXpression	nan
P23229	164	0.81578	1.42899	Pass	Normalized Protein eXpression	nan
Q15517	164	2.62778	2.84649	Pass	Normalized Protein eXpression	nan
Q14435	164	1.31693	1.31693	Pass	Normalized Protein eXpression	nan
Q96DB9	164	1.66908	1.66908	Pass	Normalized Protein eXpression	nan
Q12933	164	1.52693	2.99016	Pass	Normalized Protein eXpression	nan
P19474	164	0.55694	2.64886	Pass	Normalized Protein eXpression	nan
Q8NHJ6	164	1.06875	2.85396	Pass	Normalized Protein eXpression	nan
P34130	164	0.70994	2.49333	Pass	Normalized Protein eXpression	nan
P08727	164	1.19379	3.38971	Pass	Normalized Protein eXpression	nan
O43736	164	0.6847	3.75695	Pass	Normalized Protein eXpression	nan
P50135	164	2.02178	8.33254	Pass	Normalized Protein eXpression	nan
P51671	164	1.38969	9.07686	Pass	Normalized Protein eXpression	nan
Q7Z6M3	164	1.6338	2.96294	Pass	Normalized Protein eXpression	nan
Q9GZT9	164	0.97546	0.99161	Pass	Normalized Protein eXpression	nan
Q12968	164	0.54773	0.54773	Pass	Normalized Protein eXpression	nan
O60449	164	1.60914	2.36871	Pass	Normalized Protein eXpression	nan
P63241	164	1.04843	1.04843	Pass	Normalized Protein eXpression	nan
Q04637	164	1.02182	5.04433	Pass	Normalized Protein eXpression	nan
P10747	164	1.69189	1.69189	Pass	Normalized Protein eXpression	nan
Q03431	164	0.89964	1.31382	Pass	Normalized Protein eXpression	nan
Q13490	164	0.97434	0.97434	Pass	Normalized Protein eXpression	nan
P28845	164	0.85422	2.9486	Pass	Normalized Protein eXpression	nan
P35240	164	-0.91764	-0.91764	Pass	Normalized Protein eXpression	nan
Q9HCM2	164	1.21399	7.64239	Pass	Normalized Protein eXpression	nan
Q9UQQ2	164	1.47484	4.09573	Pass	Normalized Protein eXpression	nan
Q96P31	164	1.13146	1.28316	Pass	Normalized Protein eXpression	nan
Q07065	164	0.92759	4.84555	Pass	Normalized Protein eXpression	nan
P05412	164	0.44482	0.44482	Pass	Normalized Protein eXpression	nan
O94992	164	0.87784	4.07581	Pass	Normalized Protein eXpression	nan
Q8WXI8	164	-0.49584	2.89774	Pass	Normalized Protein eXpression	nan
Q04759	164	1.21837	1.96094	Pass	Normalized Protein eXpression	nan
P16455	164	0.60363	2.68891	Pass	Normalized Protein eXpression	nan
Q9NP99	164	-3.27533	-0.74717	Pass	Normalized Protein eXpression	nan
P78310	164	0.39769	1.17287	Pass	Normalized Protein eXpression	nan
P22301	164	1.6296	2.59018	Pass	Normalized Protein eXpression	nan
P78362	164	0.43217	0.43217	Pass	Normalized Protein eXpression	nan
Q13241	164	1.34491	5.46828	Pass	Normalized Protein eXpression	nan
O14867	164	0.97071	0.97071	Pass	Normalized Protein eXpression	nan
Q6ZUJ8	164	0.9965	2.93032	Pass	Normalized Protein eXpression	nan
O43597	164	1.19063	2.52132	Pass	Normalized Protein eXpression	nan
P52823	164	0.51524	5.91379	Pass	Normalized Protein eXpression	nan
P27540	164	2.92929	2.92929	Pass	Normalized Protein eXpression	nan
P58499	164	1.00622	4.9009	Pass	Normalized Protein eXpression	nan
O60880	164	0.77129	1.10508	Pass	Normalized Protein eXpression	nan
Q05084	164	1.46808	1.46808	Pass	Normalized Protein eXpression	nan
O00273	164	0.82064	4.10613	Pass	Normalized Protein eXpression	nan
Q96PD2	164	0.57076	8.16097	Pass	Normalized Protein eXpression	nan
Q6DN72	164	0.43869	2.03248	Pass	Normalized Protein eXpression	nan
