Selected Features,Score
IgG-PT,33.572887745813865
IgG1-PT,11.642542953328107
ENSG00000036565.14,15.875715186785563
ENSG00000113889.11,12.992043938912728
ENSG00000147724.11,10.144458464424794
ENSG00000168903.8,8.718506375734938
ENSG00000172139.14,9.956878737981718
ENSG00000175676.15,11.30318063838116
ENSG00000186675.6,10.060729918837401
ENSG00000188712.4,10.062977422787323
ENSG00000197140.14,9.225273595585701
ENSG00000197748.12,8.689144477222124
ENSG00000201114.1,8.240129086574889
ENSG00000202272.1,8.626774369555406
ENSG00000207484.1,9.497371381633702
ENSG00000213225.7,10.647812199857631
ENSG00000213239.3,11.636274676844941
ENSG00000219027.2,9.656614382871265
ENSG00000223012.1,9.414882203556848
ENSG00000223202.1,8.355822369475128
ENSG00000226869.6,9.176579156188135
ENSG00000227077.3,10.879307426561146
ENSG00000228125.2,10.935323687423558
ENSG00000229386.3,11.156169688733643
ENSG00000229740.1,8.570288578819918
ENSG00000230417.11,9.56436121281457
ENSG00000232453.6,9.561316941246117
ENSG00000232892.1,8.197851368244088
ENSG00000233013.10,8.354591259024573
ENSG00000233421.4,10.864716326108534
ENSG00000233625.1,9.33751675093119
ENSG00000239533.6,8.515512905163744
ENSG00000240991.3,8.50153525588262
ENSG00000242968.1,8.250855855483506
ENSG00000249488.1,8.356946884525003
ENSG00000251056.1,10.07023807848085
ENSG00000251916.1,8.692180092710899
ENSG00000253313.5,8.591394169672478
ENSG00000253495.1,8.792536188614969
ENSG00000254726.2,8.522510828156445
ENSG00000258921.1,8.385798000554633
ENSG00000259468.1,8.481664985956487
ENSG00000261052.5,8.217450680764196
ENSG00000265485.5,8.551391277547296
ENSG00000269349.1,8.621333697098642
ENSG00000270716.1,9.404233562051337
ENSG00000272844.1,9.354928408428297
ENSG00000274252.1,9.65277720003576
ENSG00000277128.1,8.3791228700568
ENSG00000280159.1,9.118961566159532
